,Unnamed: 0.1,Unnamed: 0,Wavelength,Ruby Intensity,Wavelength(nm),No Ruby Intensity,Transmission,Intensity_measurement_error,Transmission_error
288,288,288,425.368,603.53,425.368,1036.78,0.58211964,0.01,0.582120+/-0.000011
289,289,289,425.582,563.93,425.582,1131.67,0.498316647,0.01,0.498317+/-0.000010
290,290,290,425.796,559.84,425.796,1055.9,0.530201724,0.01,0.530202+/-0.000011
291,291,291,426.01,576.9,426.01,1075.7,0.536301943,0.01,0.536302+/-0.000011
292,292,292,426.223,537.31,426.223,1092.76,0.491699916,0.01,0.491700+/-0.000010
293,293,293,426.437,567.34,426.437,1097.54,0.516919657,0.01,0.516920+/-0.000010
294,294,294,426.651,603.53,426.651,1144.64,0.527266215,0.01,0.527266+/-0.000010
295,295,295,426.865,598.06,426.865,1100.95,0.543221763,0.01,0.543222+/-0.000010
296,296,296,427.079,572.12,427.079,1104.37,0.518051016,0.01,0.518051+/-0.000010
297,297,297,427.293,623.32,427.293,1144.64,0.544555493,0.01,0.544555+/-0.000010
298,298,298,427.506,638.34,427.506,1180.82,0.540590437,0.01,0.540590+/-0.000010
299,299,299,427.72,640.39,427.72,1133.04,0.565196286,0.01,0.565196+/-0.000010
300,300,300,427.934,637.66,427.934,1163.76,0.547930845,0.01,0.547931+/-0.000010
301,301,301,428.148,636.98,428.148,1154.2,0.55188009,0.01,0.551880+/-0.000010
302,302,302,428.361,657.45,428.361,1178.78,0.557737661,0.01,0.557738+/-0.000010
303,303,303,428.575,597.38,428.575,1155.57,0.516957,0.01,0.516957+/-0.000010
304,304,304,428.789,597.38,428.789,1171.27,0.510027577,0.01,0.510028+/-0.000010
305,305,305,429.003,712.75,429.003,1210.18,0.588961973,0.01,0.588962+/-0.000010
306,306,306,429.216,657.45,429.216,1199.26,0.548213065,0.01,0.548213+/-0.000010
307,307,307,429.43,682.03,429.43,1248.41,0.546318918,0.01,0.546319+/-0.000009
308,308,308,429.644,702.51,429.644,1193.11,0.588805726,0.01,0.588806+/-0.000010
